EmployeeID,Name,Age,Department,Gender,Salary,JoinDate,PerformanceScore,Status
1351,Angela Howard,22,Operations,Female,47962.61,2022-01-10,2.4,Terminated
1104,Frederick Schaefer,58,HR,M,88672.94,2016-08-12,2.5,Active
1090,Gary Becker,22,Operations,Male,59931.56,2023-06-03,2.0,Active
1446,Brittany Baker,22,Operations,Male,23958.69,2019-04-20,2.6,Active
1147,Dr. Tina Ballard,36,Sales,M,59808.84,2017-10-07,3.3,Active
1156,Alexander Harris,25,Finance,Fmale,60703.73,2021-09-15,1.1,Active
1375,Jennifer Holt,41,Finance,Female,49837.87,2023-02-13,,Active
1414,Melissa White,25,Marketing,Male,52264.24,2021-09-29,4.9,Active
1410,Glenn Perez,42,HR,Male,38425.83,2022-05-29,3.6,On Leave
1439,Larry Grant MD,56,HR,Fmale,72785.27,2021-08-19,3.6,Active
1174,Beth Sullivan,37,Finance,Fmale,66614.52,2020-04-16,3.7,Terminated
1366,Katrina Ford,34,Sales,Male,64100.5,2016-04-10,4.0,Terminated
1068,Sara Parsons,57,Finance,M,71619.51,2022-12-10,2.7,Active
1484,Jasmine Chapman,48,Operations,Female,66824.58,2017-12-21,3.9,Terminated
1376,Tyler Adams,42,Marketing,Fmale,,2015-12-29,1.7,Terminated
1002,Jeremy Brock,32,Operations,Fmale,50768.55,2017-02-07,3.4,Active
1461,Elizabeth Hill,49,IT,Fmale,66774.49,2017-06-08,3.1,Active
1496,Brandon Johnson,22,Operations,M,72849.26,2017-05-26,1.0,On Leave
1415,Jessica Barrett,30,HR,Female,60363.29,2025-04-30,2.7,Terminated
1227,Patricia Estes,23,HR,Female,72266.29,2025-05-20,3.5,Active
1142,Derek James,40,HR,Female,70445.27,2015-08-17,3.1,Terminated
1480,Anna Johnson,42,IT,Fmale,46898.86,2022-06-21,3.2,Terminated
1085,Andrew Coleman,59,HR,Female,63674.5,2016-12-16,4.3,Active
1259,Lisa Brown,40,Sales,Male,67842.53,2016-08-16,3.0,Terminated
1482,Charles Dixon,39,Finance,M,54631.33,2020-04-18,3.3,Active
1019,Renee Jones,47,HR,Male,,2023-10-23,3.8,Active
1332,Erika Bishop,27,Sales,M,55497.9,2017-08-09,2.5,Active
1420,Michael Neal Jr.,32,Finance,M,64562.89,2024-01-31,3.6,Terminated
1056,Charles Joyce,28,IT,M,34622.73,2022-02-14,4.2,Active
1322,Roberto Howard,54,IT,Male,78405.75,2018-11-19,3.0,Terminated
1422,Susan Nixon,47,Marketing,M,59656.98,2024-12-23,2.0,Active
1387,Christian Williams,56,Sales,Male,75494.46,2018-12-24,1.7,On Leave
1310,Kenneth White,28,IT,Male,39717.53,2023-10-19,2.6,Active
1066,Leslie Larson,58,IT,M,75486.98,2019-10-07,2.4,On Leave
1384,Mrs. Catherine Jacobson,35,Finance,Fmale,43849.65,2018-02-08,4.0,On Leave
1454,Janet Roberts,40,Finance,M,61697.01,2018-05-24,4.6,Active
1355,Charles Wise,30,Marketing,Male,41211.16,2020-12-07,3.5,On Leave
1101,Joshua Yu,32,Finance,Female,34302.98,2016-09-22,4.4,Active
1278,Edward Hall,41,Marketing,M,58789.25,2025-03-03,,Terminated
1281,Garrett Pitts,29,Marketing,M,50643.47,2024-07-27,1.7,Active
1301,Tamara Boyle,32,Sales,Female,51895.17,2021-03-27,4.2,On Leave
1021,Devin Mitchell,53,Sales,Female,48269.28,2020-11-29,3.2,Active
1335,Jacob King,27,Operations,Fmale,35153.51,2019-02-01,3.3,On Leave
1385,Sara Hill,26,IT,Fmale,52667.26,2024-02-12,,Active
1298,Reginald Kelly,55,Marketing,Male,59061.1,2021-10-24,3.5,On Leave
1200,Heather Clark,38,Sales,Female,58793.76,2022-08-31,2.5,Active
1307,Abigail Turner,26,Finance,M,67865.44,2019-03-04,1.9,Terminated
1398,Jordan Rodriguez,33,Finance,Fmale,69162.15,2017-08-16,1.5,Active
1078,Brittany Bates,34,Finance,M,51126.43,2022-02-19,2.0,Active
1341,Jesse Vasquez,58,Finance,Fmale,66273.1,2019-07-08,1.5,Active
1177,Scott Patterson,26,HR,Male,41377.48,2016-08-16,3.4,Terminated
1266,Courtney Lowe,39,IT,Fmale,51408.47,2020-01-31,3.9,Active
1121,Deborah Parker,57,Sales,Female,69212.5,2017-12-28,1.8,Terminated
1193,Louis Newman,51,Marketing,Female,74785.84,2020-10-17,4.2,On Leave
1216,Bryce Barrett,38,Operations,M,96807.63,2016-09-08,4.3,Active
1029,Melissa Vaughan,33,Marketing,M,59721.74,2017-04-10,2.1,Terminated
1184,George Smith,43,Operations,M,59949.74,2019-06-24,4.6,Terminated
1181,Jacqueline Terry,30,Sales,Female,62562.98,2019-10-29,3.1,Terminated
1025,Patrick Pitts,49,Operations,Fmale,70861.25,2025-07-25,,On Leave
1162,Melvin Richards,55,Finance,Female,25188.94,2018-02-06,3.3,Terminated
1232,Laura Brown,47,IT,Male,44602.27,2018-12-01,4.4,On Leave
1110,Steven Shepard,55,IT,M,67878.18,2021-06-15,3.2,Active
1348,Michael Lewis,55,Marketing,Male,57499.14,2015-10-20,2.8,Terminated
1440,Hunter Hawkins,58,HR,M,49732.23,2021-10-09,1.5,On Leave
1447,Nichole Andersen,39,Marketing,M,,2016-03-25,1.6,Terminated
1380,Ronald Hartman,33,IT,M,51732.21,2016-06-05,3.8,On Leave
1201,Charles Palmer,55,HR,M,61194.87,2021-11-05,2.6,On Leave
1363,Joseph Mitchell,42,Sales,Male,40596.62,2017-04-05,2.3,Active
1252,Michael Wells,47,HR,M,48292.89,2018-06-01,1.5,Active
1285,Monica Webster,26,Marketing,Female,32235.89,2019-03-01,3.4,On Leave
1033,Matthew Williams,59,IT,Male,81041.91,2018-10-10,3.1,Active
1295,Robin Jones,36,Finance,M,94929.29,2017-09-28,4.3,Terminated
1323,Donald Curtis,35,Finance,Male,55637.91,2024-04-26,2.5,On Leave
1441,Barbara Davis,30,Sales,Male,74627.96,2024-09-15,3.3,Terminated
1068,Sara Parsons,57,Finance,M,71619.51,2022-12-10,2.7,Active
1292,Joshua Owen,56,HR,Female,55446.96,2019-08-21,3.6,On Leave
1228,William Mason,45,Marketing,Male,37659.1,2024-10-20,1.5,On Leave
1067,Sydney Banks,51,Operations,Fmale,66657.29,2019-11-11,1.4,Terminated
1222,Jeffery Benson,34,Marketing,Male,60538.42,2021-08-05,4.5,On Leave
1041,Lindsay Love,45,HR,M,69795.72,2019-02-18,2.5,Active
1479,Julia Flores,24,HR,Fmale,44048.97,2016-06-24,1.2,On Leave
1302,Johnny Bradford,57,HR,Fmale,67703.11,2020-08-17,1.3,Active
1042,James Conley,46,Sales,Male,,2020-02-18,1.6,Active
1224,Pamela Hernandez,59,HR,Male,67609.11,2021-12-25,4.5,On Leave
1180,Holly Phillips,35,HR,Female,59535.63,2023-07-13,3.8,Active
1334,Dr. James Smith Jr.,49,Sales,Female,60541.65,2018-01-20,3.0,Terminated
1132,Matthew Davidson,51,Operations,M,73618.08,2025-07-08,3.7,On Leave
1486,Michelle Owens,27,HR,Fmale,61135.08,2022-09-08,2.9,Terminated
1210,Jonathan Erickson,58,HR,Fmale,46752.64,2018-12-23,2.7,Terminated
1070,Patrick Brown,37,IT,Male,71339.03,2021-10-15,1.1,On Leave
1015,Stephanie Turner,45,Operations,M,73958.77,2019-01-25,4.7,On Leave
1356,Chelsea Mcfarland,46,HR,M,52463.06,2016-02-17,1.2,On Leave
1280,Laura Gregory,44,Marketing,Male,,2018-05-19,2.2,Active
1270,Shannon Shaw,49,Operations,Fmale,63528.0,2023-04-10,3.6,Active
1155,Patrick Bell,39,Sales,Fmale,56957.31,2017-08-18,4.7,Active
1226,Keith Flores,57,HR,Male,62200.71,2021-01-24,4.0,On Leave
1329,Jerome Gray,56,Marketing,M,68047.65,2024-02-19,4.9,Active
1013,Thomas White,47,Marketing,Male,61446.25,2017-11-30,2.2,Terminated
1382,Michael Vasquez,49,HR,M,57095.11,2016-05-21,5.0,Terminated
1315,Brianna Maynard,24,Marketing,Male,30093.97,2022-08-20,3.7,Terminated
1194,John Russell,33,Marketing,M,51083.03,2021-10-01,4.5,Terminated
1321,Pamela Hanson,22,Sales,Fmale,61127.81,2018-05-26,1.4,Terminated
1038,Kathleen Jenkins,56,Operations,Fmale,73896.85,2021-10-28,1.7,On Leave
1286,Tony Anderson,54,Marketing,M,74151.96,2023-03-10,4.5,Terminated
1003,Melissa Simmons,43,HR,Female,61197.48,2021-02-24,1.0,On Leave
1026,Kyle Jones,34,Operations,Male,56163.53,2022-07-16,1.0,On Leave
1457,Matthew Welch,44,Marketing,Female,72279.46,2021-05-28,3.7,Terminated
1118,Patricia Kane,26,Finance,Fmale,75679.69,2016-12-11,1.8,On Leave
1287,Lee Miller,34,IT,M,50934.92,2019-08-23,4.1,Terminated
1392,Anthony Day,31,Sales,Male,56944.89,2017-06-01,4.0,Terminated
1358,Jessica Garner,37,IT,Fmale,43994.75,2021-03-06,3.6,On Leave
1474,Thomas Chen,48,Sales,Fmale,61465.14,2018-08-15,1.1,On Leave
1400,Jesse Hatfield,55,Operations,Fmale,57537.31,2019-07-29,3.2,Active
1471,Jessica Anderson,52,IT,Fmale,66546.38,2017-07-10,4.4,Active
1371,Melissa Davis,48,Finance,M,52280.38,2024-08-16,,On Leave
1466,Mark Johnson,51,Finance,Male,86629.66,2018-06-12,4.2,On Leave
1054,Mr. Adam Davis MD,47,IT,Female,43796.99,2019-05-12,3.8,On Leave
1341,Jesse Vasquez,58,Finance,Fmale,66273.1,2019-07-08,1.5,Active
1130,William Lopez,42,HR,Fmale,35430.09,2018-04-21,2.0,Active
1389,Kerry Benson,56,HR,Fmale,84918.89,2022-10-17,1.6,Active
1391,John Day,45,IT,Female,58497.69,2017-04-13,2.0,On Leave
1206,William Stanley,31,Marketing,Male,81140.21,2023-08-30,2.3,On Leave
1151,Paul Lynn,36,IT,Fmale,53335.6,2021-10-05,3.9,Active
1008,Kayla Hicks,28,HR,M,74211.6,2018-05-17,4.3,Active
1399,Andrea Jackson,25,IT,M,47653.23,2019-03-21,3.2,Terminated
1328,Tyler Jordan,37,IT,Female,77494.54,2017-04-13,4.3,Terminated
1172,Amanda Gilmore,29,Finance,Male,79073.33,2018-09-27,4.2,Terminated
1176,Nicholas Jenkins,40,HR,M,56143.17,2024-03-24,2.7,On Leave
1478,Amber Roberts,34,Operations,Fmale,37705.84,2024-09-21,4.0,Active
1229,Lauren Thomas MD,28,HR,M,68070.34,2021-12-12,3.5,On Leave
1115,Linda Brown,52,IT,Female,84176.89,2025-03-25,3.8,Terminated
1437,Patrick Cantu,25,Sales,Fmale,54643.46,2019-03-31,5.0,Active
1069,Antonio Nolan,31,HR,Female,60027.2,2018-06-22,3.7,Active
1445,Ryan Molina DDS,25,Sales,Fmale,56151.18,2018-11-17,4.8,Terminated
1377,Jacqueline Mclaughlin,41,IT,Male,74707.27,2021-07-01,3.9,Terminated
1343,Tiffany Franco,26,Finance,M,45088.41,2016-03-27,2.8,Active
1468,Michael Mills,57,Sales,M,66858.45,2022-01-19,3.1,Terminated
1161,Randy Crawford,56,Sales,M,72783.7,2019-10-24,2.4,Active
1241,Crystal Torres,45,Finance,Fmale,74257.54,2018-03-24,4.9,Active
1419,Justin Thomas,49,Operations,Male,64064.62,2020-10-30,3.8,Terminated
1071,Tyrone Acosta,48,Finance,Female,69117.58,2017-03-02,1.5,On Leave
1166,Mark Ewing,34,IT,M,57531.97,2020-10-19,2.7,Terminated
1458,Christopher Johnson,49,IT,M,41924.95,2025-07-20,4.6,Terminated
1153,Kimberly Smith,48,Finance,M,44124.22,2017-11-30,3.3,On Leave
1135,David Wise,22,Sales,Fmale,37135.64,2024-05-07,1.6,On Leave
1031,Amanda Anderson,54,IT,Male,81502.73,2022-02-23,2.8,Active
1189,Jeffrey Flowers,55,Finance,Female,67798.08,2023-07-07,2.9,Active
1011,Kevin Lin,57,IT,Female,71077.0,2019-08-08,1.8,Active
1283,Kristen Wright,47,HR,Fmale,,2015-08-23,4.7,Active
1018,Tanya King,56,Finance,Fmale,78502.45,2020-09-18,3.9,On Leave
1485,Jessica Brown,33,Marketing,M,49822.06,2023-07-24,2.9,Terminated
1231,Natalie Davis,25,Finance,Male,76104.48,2020-06-18,3.3,Active
1421,Jonathan Sharp,45,Sales,Fmale,79454.92,2022-04-10,1.7,Active
1350,Heidi Bowman,58,Marketing,M,,2019-04-05,1.2,On Leave
1120,Audrey Cox,51,Finance,Fmale,42595.12,2018-07-18,,On Leave
1340,Jose Walter Jr.,56,IT,M,74014.8,2020-05-18,2.7,Terminated
1199,Whitney Wilson,29,IT,Fmale,76936.04,2023-03-11,2.3,On Leave
